doc_id,source_type,title,year,statement_type,note_number,section_type,text_length
2014_table_summary_214,table_summary,table_summary_214,2014,,,,63
2014_table_summary_215,table_summary,table_summary_215,2014,,,,231
2014_table_summary_216,table_summary,table_summary_216,2014,,,,63
2014_table_summary_217,table_summary,table_summary_217,2014,,,,181
2014_table_summary_218,table_summary,table_summary_218,2014,,,,63
2014_table_summary_219,table_summary,table_summary_219,2014,,,,234
2014_table_summary_220,table_summary,table_summary_220,2014,,,,63
2014_table_summary_221,table_summary,table_summary_221,2014,,,,178
2014_table_summary_222,table_summary,table_summary_222,2014,,,,63
2014_table_summary_223,table_summary,table_summary_223,2014,,,,201
2014_table_summary_224,table_summary,table_summary_224,2014,,,,63
2014_table_summary_225,table_summary,table_summary_225,2014,,,,219
2014_table_summary_226,table_summary,table_summary_226,2014,,,,63
2014_table_summary_227,table_summary,table_summary_227,2014,,,,202
2014_table_summary_228,table_summary,table_summary_228,2014,,,,63
2014_table_summary_229,table_summary,table_summary_229,2014,,,,142
2014_table_summary_230,table_summary,table_summary_230,2014,,,,63
2014_table_summary_231,table_summary,table_summary_231,2014,,,,117
2014_table_summary_232,table_summary,table_summary_232,2014,,,,62
2014_table_summary_233,table_summary,table_summary_233,2014,,,,105
2014_table_summary_234,table_summary,table_summary_234,2014,,,,62
2014_table_summary_235,table_summary,table_summary_235,2014,,,,95
2014_table_summary_236,table_summary,table_summary_236,2014,,,,149
2014_table_summary_237,table_summary,table_summary_237,2014,,,,127
2014_table_summary_238,table_summary,table_summary_238,2014,,,,125
2014_table_summary_239,table_summary,table_summary_239,2014,,,,105
2014_table_summary_240,table_summary,table_summary_240,2014,,,,153
2014_table_summary_241,table_summary,table_summary_241,2014,,,,68
2014_table_summary_242,table_summary,table_summary_242,2014,,,,280
2014_table_summary_243,table_summary,table_summary_243,2014,,,,408
2015_section_0,main_section,독립된 감사인의 감사보고서,2015,,,auditor_report_title,183
2015_section_1,main_section,재무제표에 대한 경영진의 책임,2015,,,management_responsibility,135
2015_section_2,main_section,감사인의 책임,2015,,,auditor_responsibility,572
2015_section_3,main_section,감사의견,2015,,,opinion,157
2015_section_4,main_section,(첨부)재 무 제 표,2015,,,attached_financial_statements,11
2015_section_5,main_section,주석,2015,,,notes_section,15997
2015_section_6,main_section,(주석,2015,,,notes_section,18254
2015_note_1_0,note_block,1. 일반적 사항 :,2015,,1,,366
2015_note_2_1,note_block,2. 중요한 회계처리방침 :,2015,,2,,8326
2015_note_2_2,note_block,2. 중요,2015,,2,,882
2015_note_2_3,note_block,2. 중요,2015,,2,,2833
2015_note_3_4,note_block,3. 중요한 회계추정 및 가정 :,2015,,3,,1531
2015_note_6_5,note_block,6. 범주별 금융상품 :,2015,,6,,157
2015_note_7_6,note_block,7. 금융자산의 신용건전성 :,2015,,7,,516
2015_note_8_7,note_block,8. 금융자산의 양도 :,2015,,8,,258
2015_note_9_8,note_block,9. 매도가능금융자산 :,2015,,9,,966
2015_note_10_9,note_block,10. 매출채권 및 미수금 :,2015,,10,,523
2015_note_11_10,note_block,11. 재고자산 :,2015,,11,,133
2015_note_12_11,note_block,"12. 종속기업, 관계기업 및 공동기업 투자 :",2015,,12,,834
2015_note_13_12,note_block,13. 유형자산 :,2015,,13,,527
2015_note_14_13,note_block,"14. 무형자산, 계속 :",2015,,14,,336
2015_note_15_14,note_block,15. 차입금 :,2015,,15,,94
2015_note_16_15,note_block,16. 사채 :,2015,,16,,252
2015_note_17_16,note_block,17. 순확정급여,2015,,17,,114
2015_note_17_17,note_block,17. 순확정급여,2015,,17,,230
